Brand	CostPrice	CostPriceFrom	CostPriceInPoints	Description	Discount	Platform	PlatformProducts.0.Brand	PlatformProducts.0.Category	PlatformProducts.0.CostPrice	PlatformProducts.0.CostPriceFrom	PlatformProducts.0.CostPriceInPoints	PlatformProducts.0.Description	PlatformProducts.0.Discount	PlatformProducts.0.Platform	PlatformProducts.0.Sku	PlatformProducts.0.Url	PlatformProducts.0.Vendor	PlatformProducts.1.Brand	PlatformProducts.1.Category	PlatformProducts.1.CostPrice	PlatformProducts.1.CostPriceFrom	PlatformProducts.1.CostPriceInPoints	PlatformProducts.1.Description	PlatformProducts.1.Discount	PlatformProducts.1.Platform	PlatformProducts.1.Sku	PlatformProducts.1.Url	PlatformProducts.1.Vendor	PlatformProducts.10.Brand	PlatformProducts.10.Category	PlatformProducts.10.CostPrice	PlatformProducts.10.CostPriceFrom	PlatformProducts.10.CostPriceInPoints	PlatformProducts.10.Description	PlatformProducts.10.Discount	PlatformProducts.10.Platform	PlatformProducts.10.Sku	PlatformProducts.10.Url	PlatformProducts.10.Vendor	PlatformProducts.11.Brand	PlatformProducts.11.Category	PlatformProducts.11.CostPrice	PlatformProducts.11.CostPriceFrom	PlatformProducts.11.CostPriceInPoints	PlatformProducts.11.Description	PlatformProducts.11.Discount	PlatformProducts.11.Platform	PlatformProducts.11.Sku	PlatformProducts.11.Url	PlatformProducts.11.Vendor	PlatformProducts.12.Brand	PlatformProducts.12.Category	PlatformProducts.12.CostPrice	PlatformProducts.12.CostPriceFrom	PlatformProducts.12.CostPriceInPoints	PlatformProducts.12.Description	PlatformProducts.12.Discount	PlatformProducts.12.Platform	PlatformProducts.12.Sku	PlatformProducts.12.Url	PlatformProducts.12.Vendor	PlatformProducts.13.Brand	PlatformProducts.13.Category	PlatformProducts.13.CostPrice	PlatformProducts.13.CostPriceFrom	PlatformProducts.13.CostPriceInPoints	PlatformProducts.13.Description	PlatformProducts.13.Discount	PlatformProducts.13.Platform	PlatformProducts.13.Sku	PlatformProducts.13.Url	PlatformProducts.13.Vendor	PlatformProducts.14.Brand	PlatformProducts.14.Category	PlatformProducts.14.CostPrice	PlatformProducts.14.CostPriceFrom	PlatformProducts.14.CostPriceInPoints	PlatformProducts.14.Description	PlatformProducts.14.Discount	PlatformProducts.14.Platform	PlatformProducts.14.Sku	PlatformProducts.14.Url	PlatformProducts.14.Vendor	PlatformProducts.15.Brand	PlatformProducts.15.Category	PlatformProducts.15.CostPrice	PlatformProducts.15.CostPriceFrom	PlatformProducts.15.CostPriceInPoints	PlatformProducts.15.Description	PlatformProducts.15.Discount	PlatformProducts.15.Platform	PlatformProducts.15.Sku	PlatformProducts.15.Url	PlatformProducts.15.Vendor	PlatformProducts.16.Brand	PlatformProducts.16.Category	PlatformProducts.16.CostPrice	PlatformProducts.16.CostPriceFrom	PlatformProducts.16.CostPriceInPoints	PlatformProducts.16.Description	PlatformProducts.16.Discount	PlatformProducts.16.Platform	PlatformProducts.16.Sku	PlatformProducts.16.Url	PlatformProducts.16.Vendor	PlatformProducts.17.Brand	PlatformProducts.17.Category	PlatformProducts.17.CostPrice	PlatformProducts.17.CostPriceFrom	PlatformProducts.17.CostPriceInPoints	PlatformProducts.17.Description	PlatformProducts.17.Discount	PlatformProducts.17.Platform	PlatformProducts.17.Sku	PlatformProducts.17.Url	PlatformProducts.17.Vendor	PlatformProducts.18.Brand	PlatformProducts.18.Category	PlatformProducts.18.CostPrice	PlatformProducts.18.CostPriceFrom	PlatformProducts.18.CostPriceInPoints	PlatformProducts.18.Description	PlatformProducts.18.Discount	PlatformProducts.18.Platform	PlatformProducts.18.Sku	PlatformProducts.18.Url	PlatformProducts.18.Vendor	PlatformProducts.19.Brand	PlatformProducts.19.Category	PlatformProducts.19.CostPrice	PlatformProducts.19.CostPriceFrom	PlatformProducts.19.CostPriceInPoints	PlatformProducts.19.Description	PlatformProducts.19.Discount	PlatformProducts.19.Platform	PlatformProducts.19.Sku	PlatformProducts.19.Url	PlatformProducts.19.Vendor	PlatformProducts.2.Brand	PlatformProducts.2.Category	PlatformProducts.2.CostPrice	PlatformProducts.2.CostPriceFrom	PlatformProducts.2.CostPriceInPoints	PlatformProducts.2.Description	PlatformProducts.2.Discount	PlatformProducts.2.Platform	PlatformProducts.2.Sku	PlatformProducts.2.Url	PlatformProducts.2.Vendor	PlatformProducts.20.Brand	PlatformProducts.20.Category	PlatformProducts.20.CostPrice	PlatformProducts.20.CostPriceFrom	PlatformProducts.20.CostPriceInPoints	PlatformProducts.20.Description	PlatformProducts.20.Discount	PlatformProducts.20.Platform	PlatformProducts.20.Sku	PlatformProducts.20.Url	PlatformProducts.20.Vendor	PlatformProducts.21.Brand	PlatformProducts.21.Category	PlatformProducts.21.CostPrice	PlatformProducts.21.CostPriceFrom	PlatformProducts.21.CostPriceInPoints	PlatformProducts.21.Description	PlatformProducts.21.Discount	PlatformProducts.21.Platform	PlatformProducts.21.Sku	PlatformProducts.21.Url	PlatformProducts.21.Vendor	PlatformProducts.22.Brand	PlatformProducts.22.Category	PlatformProducts.22.CostPrice	PlatformProducts.22.CostPriceFrom	PlatformProducts.22.CostPriceInPoints	PlatformProducts.22.Description	PlatformProducts.22.Discount	PlatformProducts.22.Platform	PlatformProducts.22.Sku	PlatformProducts.22.Url	PlatformProducts.22.Vendor	PlatformProducts.23.Brand	PlatformProducts.23.Category	PlatformProducts.23.CostPrice	PlatformProducts.23.CostPriceFrom	PlatformProducts.23.CostPriceInPoints	PlatformProducts.23.Description	PlatformProducts.23.Discount	PlatformProducts.23.Platform	PlatformProducts.23.Sku	PlatformProducts.23.Url	PlatformProducts.23.Vendor	PlatformProducts.24.Brand	PlatformProducts.24.Category	PlatformProducts.24.CostPrice	PlatformProducts.24.CostPriceFrom	PlatformProducts.24.CostPriceInPoints	PlatformProducts.24.Description	PlatformProducts.24.Discount	PlatformProducts.24.Platform	PlatformProducts.24.Sku	PlatformProducts.24.Url	PlatformProducts.24.Vendor	PlatformProducts.25.Brand	PlatformProducts.25.Category	PlatformProducts.25.CostPrice	PlatformProducts.25.CostPriceFrom	PlatformProducts.25.CostPriceInPoints	PlatformProducts.25.Description	PlatformProducts.25.Discount	PlatformProducts.25.Platform	PlatformProducts.25.Sku	PlatformProducts.25.Url	PlatformProducts.25.Vendor	PlatformProducts.26.Brand	PlatformProducts.26.Category	PlatformProducts.26.CostPrice	PlatformProducts.26.CostPriceFrom	PlatformProducts.26.CostPriceInPoints	PlatformProducts.26.Description	PlatformProducts.26.Discount	PlatformProducts.26.Platform	PlatformProducts.26.Sku	PlatformProducts.26.Url	PlatformProducts.26.Vendor	PlatformProducts.27.Brand	PlatformProducts.27.Category	PlatformProducts.27.CostPrice	PlatformProducts.27.CostPriceFrom	PlatformProducts.27.CostPriceInPoints	PlatformProducts.27.Description	PlatformProducts.27.Discount	PlatformProducts.27.Platform	PlatformProducts.27.Sku	PlatformProducts.27.Url	PlatformProducts.27.Vendor	PlatformProducts.28.Brand	PlatformProducts.28.Category	PlatformProducts.28.CostPrice	PlatformProducts.28.CostPriceFrom	PlatformProducts.28.CostPriceInPoints	PlatformProducts.28.Description	PlatformProducts.28.Discount	PlatformProducts.28.Platform	PlatformProducts.28.Sku	PlatformProducts.28.Url	PlatformProducts.28.Vendor	PlatformProducts.29.Brand	PlatformProducts.29.Category	PlatformProducts.29.CostPrice	PlatformProducts.29.CostPriceFrom	PlatformProducts.29.CostPriceInPoints	PlatformProducts.29.Description	PlatformProducts.29.Discount	PlatformProducts.29.Platform	PlatformProducts.29.Sku	PlatformProducts.29.Url	PlatformProducts.29.Vendor	PlatformProducts.3.Brand	PlatformProducts.3.Category	PlatformProducts.3.CostPrice	PlatformProducts.3.CostPriceFrom	PlatformProducts.3.CostPriceInPoints	PlatformProducts.3.Description	PlatformProducts.3.Discount	PlatformProducts.3.Platform	PlatformProducts.3.Sku	PlatformProducts.3.Url	PlatformProducts.3.Vendor	PlatformProducts.4.Brand	PlatformProducts.4.Category	PlatformProducts.4.CostPrice	PlatformProducts.4.CostPriceFrom	PlatformProducts.4.CostPriceInPoints	PlatformProducts.4.Description	PlatformProducts.4.Discount	PlatformProducts.4.Platform	PlatformProducts.4.Sku	PlatformProducts.4.Url	PlatformProducts.4.Vendor	PlatformProducts.5.Brand	PlatformProducts.5.Category	PlatformProducts.5.CostPrice	PlatformProducts.5.CostPriceFrom	PlatformProducts.5.CostPriceInPoints	PlatformProducts.5.Description	PlatformProducts.5.Discount	PlatformProducts.5.Platform	PlatformProducts.5.Sku	PlatformProducts.5.Url	PlatformProducts.5.Vendor	PlatformProducts.6.Brand	PlatformProducts.6.Category	PlatformProducts.6.CostPrice	PlatformProducts.6.CostPriceFrom	PlatformProducts.6.CostPriceInPoints	PlatformProducts.6.Description	PlatformProducts.6.Discount	PlatformProducts.6.Platform	PlatformProducts.6.Sku	PlatformProducts.6.Url	PlatformProducts.6.Vendor	PlatformProducts.7.Brand	PlatformProducts.7.Category	PlatformProducts.7.CostPrice	PlatformProducts.7.CostPriceFrom	PlatformProducts.7.CostPriceInPoints	PlatformProducts.7.Description	PlatformProducts.7.Discount	PlatformProducts.7.Platform	PlatformProducts.7.Sku	PlatformProducts.7.Url	PlatformProducts.7.Vendor	PlatformProducts.8.Brand	PlatformProducts.8.Category	PlatformProducts.8.CostPrice	PlatformProducts.8.CostPriceFrom	PlatformProducts.8.CostPriceInPoints	PlatformProducts.8.Description	PlatformProducts.8.Discount	PlatformProducts.8.Platform	PlatformProducts.8.Sku	PlatformProducts.8.Url	PlatformProducts.8.Vendor	PlatformProducts.9.Brand	PlatformProducts.9.Category	PlatformProducts.9.CostPrice	PlatformProducts.9.CostPriceFrom	PlatformProducts.9.CostPriceInPoints	PlatformProducts.9.Description	PlatformProducts.9.Discount	PlatformProducts.9.Platform	PlatformProducts.9.Sku	PlatformProducts.9.Url	PlatformProducts.9.Vendor	Sku	Url	Vendor	_id
Errazuriz	118.68	148.35	6246.31578947369	VINHO TINTO ERRAZURIZ MAX RESERVA CABERNET SAUVIGNON 2015	0.2	excel-import			4.830						GRU1738459	http://www.pontosmultiplus.com.br//troque/grandcru/produto/Vinho/Tinto/LEYDA-RESERVA-CABERNET-SAUVIGNON-2015/_/GRU1738459?categoryId=GRU5	Grand Cru			4.830						GRU1738459	http://www.pontosmultiplus.com.br//troque/grandcru/produto/Vinho/Tinto/LEYDA-RESERVA-CABERNET-SAUVIGNON-2015/_/GRU1738459?categoryId=GRU5	Grand Cru			2.900	2.900	2.900			Livelo						3.700	3.700	3.700			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.500	3.500	3.500			Livelo						3.300	3.300	3.300			Livelo						2.100	2.100	2.100			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																													1.000	1.000	1.000			Livelo						2.000	2.000	2.000			Livelo						1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo				GRE24736	https://www.santanderesfera.com.br/produto/vinho-tinto-errazuriz-max-reserva-cabernet-sauvignon-2015/1158021	Brasil CT	5b1c3e951d6cf3034f51646a
Mazzei Fonterutoli	123.28	154.1	6488.42105263158	VINHO TINTO MAZZEI FONTERUTOLI NUMERO 10 ROSSO TOSCANA IGT 2014	0.2	excel-import			3.500	3.500	3.500			Livelo						1.000	1.000	1.000			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						2.100	2.100	2.100			Livelo						2.000	2.000	2.000			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																																			1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo						3.700	3.700	3.700			Livelo				GRE23649	https://www.santanderesfera.com.br/produto/vinho-tinto-mazzei-fonterutoli-numero-10-rosso-toscana-igt-2014/1142028	Brasil CT	5b1c3e951d6cf3034f516476
PS4	124.9	181.87	6573.68421052632	Jogo Watch Dogs 2 - PS4	0.313245724968384	excel-import			12.732	19.680				Smiles	6820486_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=6820486_3&n=Jogo+Watch+Dogs+2+-+PS4	Extra			12.732	19.680				Smiles	6820486_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=6820486_4&n=Jogo+Watch+Dogs+2+-+PS4	Ponto Frio																																																																																																																	12.732	19.680				Smiles	6820486_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=6820486_7&n=Jogo+Watch+Dogs+2+-+PS4	Casas Bahia																																																																																																																	8.040	9.410					PF6820486	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Games/Playstation-4/Jogos-Playstation-4/Jogo-Watch-Dogs-2---PS4/_/PF6820486?categoryId=PF2518	Ponto Frio			8.040	9.410					PF6820486	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Games/Playstation-4/Jogos-Playstation-4/Jogo-Watch-Dogs-2---PS4/_/PF6820486?categoryId=PF2518	Ponto Frio			8.100	8.100	8.100			Livelo						7.400	7.400	7.400			Livelo						13.700	13.700	13.700			Livelo																										10340280	https://www.santanderesfera.com.br/produto/jogo-watch-dogs-2-ps4/776197	Casas Bahia	5b1c3e951d6cf3034f516483
Brastemp	749	999	39421.0526315789	Adega de Vinhos Brastemp para 12 Garrafas - BZC12BE	-0.25025025025025	excel-import			57.689	100.899				Smiles	BRBZC12BE_35	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=35&p=BRBZC12BE_35&n=Adega+de+Vinhos+Brastemp+para+12+Garrafas+-+BZC12BE				3.500	3.500	3.500			Livelo						3.700	3.700	3.700			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						1.000	1.000	1.000			Livelo						2.100	2.100	2.100			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																								2.000	2.000	2.000			Livelo						1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo				BRBZC12BE	https://www.santanderesfera.com.br/produto/adega-de-vinhos-brastemp-para-12-garrafas-bzc12be/1132112	Fast Shop	5b1c3e951d6cf3034f51649d
Casio	129.9	189.67	6836.84210526316	Relógio Masculino Digital Casio W215H1AVDF - Preto	0.315126271946011	excel-import			13.011	19.157				Smiles	702966_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=702966_7&n=Rel%C3%B3gio+Masculino+Digital+Casio+W215H1AVDF+-+Preto	Casas Bahia			13.011	19.157				Smiles	702966_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=702966_3&n=Rel%C3%B3gio+Masculino+Digital+Casio+W215H1AVDF+-+Preto	Extra																																																																																																																	13.011	19.157				Smiles	702966_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=702966_4&n=Rel%C3%B3gio+Masculino+Digital+Casio+W215H1AVDF+-+Preto	Ponto Frio																																																																																																																	8.210	11.060					CB702966	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Relógios/Masculinos/Digital/Relogio-Masculino-Digital-Casio-W215H1AVDF---Preto/_/CB702966?categoryId=CB1820	Casas Bahia			8.210	11.060					CB702966	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Relógios/Masculinos/Digital/Relogio-Masculino-Digital-Casio-W215H1AVDF---Preto/_/CB702966?categoryId=CB1820	Casas Bahia			8.700	8.700	8.700			Livelo						8.700	8.700	8.700			Livelo																																					2542870	https://www.santanderesfera.com.br/produto/relogio-masculino-digital-casio-w215h1avdf-preto/1062063	Casas Bahia	5b1c3e951d6cf3034f5164b0
Oxford	129.9	139.9	6836.84210526316	Conjunto de Taças para Vinho Branco Oxford Crystal Classic 517 310ml – 6 Peças	0.0714796283059328	excel-import			13.011	15.543				Smiles	256762_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=256762_7&n=Conjunto+de+Ta%C3%A7as+para+Vinho+Branco+Oxford+Crystal+Classic+517+310ml+%E2%80%93+6+Pe%C3%A7as	Casas Bahia			9.090	9.010					CB256762	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Utilidades-Domésticas/Taças/Conjunto-de-Tacas-para-Vinho-Branco-Oxford-Crystal-Classic-517-310ml-–-6-Pecas/_/CB256762?categoryId=CB498	Casas Bahia			4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo						3.700	3.700	3.700			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						9.090	9.010					CB256762	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Utilidades-Domésticas/Taças/Conjunto-de-Tacas-para-Vinho-Branco-Oxford-Crystal-Classic-517-310ml-–-6-Pecas/_/CB256762?categoryId=CB498	Casas Bahia			3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						2.100	2.100	2.100			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																		3.500	3.500	3.500			Livelo						1.000	1.000	1.000			Livelo						2.000	2.000	2.000			Livelo						1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo				405831	https://www.santanderesfera.com.br/produto/conjunto-de-tacas-para-vinho-branco-oxford-crystal-classic-517-310ml-6-pecas/777546	Casas Bahia	5b1c3e951d6cf3034f5164bc
Philco	129.9	208.89	6836.84210526316	Escova Rotativa Philco Spin Íon Brush 55401002 - Preta/Vermelha	0.378141605629757	excel-import			5.900	14.260					PF320465	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Rotativa-Philco-Spin-Ion-Brush-55401002---PretaVermelha/_/PF320465?categoryId=PF104	Ponto Frio			5.900	14.260					PF320465	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Rotativa-Philco-Spin-Ion-Brush-55401002---PretaVermelha/_/PF320465?categoryId=PF104	Ponto Frio																																																																																																																	8.100	8.100	8.100			Livelo																																																																																																																				8.100	8.100	8.100			Livelo																																																																						1654288	https://www.santanderesfera.com.br/produto/escova-rotativa-philco-spin-on-brush-55401002-preta-vermelha-220v/725466	Extra	5b1c3e951d6cf3034f5164cd
Casio	129.9	183.88	6836.84210526316	Relógio Feminino Digital Casio Vintage LA670WA2DF - Prata	0.293561018055253	excel-import			13.941	18.876				Smiles	702963_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=702963_4&n=Rel%C3%B3gio+Feminino+Digital+Casio+Vintage+LA670WA2DF+-+Prata	Ponto Frio			13.941	18.876				Smiles	702963_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=702963_7&n=Rel%C3%B3gio+Feminino+Digital+Casio+Vintage+LA670WA2DF+-+Prata	Casas Bahia																																																																																																																	13.941	18.876				Smiles	702963_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=702963_3&n=Rel%C3%B3gio+Feminino+Digital+Casio+Vintage+LA670WA2DF+-+Prata	Extra																																																																																																																	8.780	10.730					CB702963	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Relógios/Femininos/Digital/Relogio-Feminino-Digital-Casio-Vintage-LA670WA2DF---Prata/_/CB702963?categoryId=CB1841	Casas Bahia			8.780	10.730					CB702963	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Relógios/Femininos/Digital/Relogio-Feminino-Digital-Casio-Vintage-LA670WA2DF---Prata/_/CB702963?categoryId=CB1841	Casas Bahia			9.300	9.300	9.300			Livelo																																																2542867	https://www.santanderesfera.com.br/produto/relogio-feminino-digital-casio-vintage-la670wa2df-prata/1061834	Ponto Frio	5b1c3e961d6cf3034f5164dc
GA.MA Italy	144.9	191.39	7626.31578947369	Chapinha | Prancha GA.MA Italy Lumina Duo Íon 220°C 37W Bivolt – Vermelho	0.2429071529338	excel-import			8.400	8.400	8.400			Livelo						11.800	11.800	11.800			Livelo																																																																																																																				8.400	8.400	8.400			Livelo																																																																																																																																																																																															8936118	https://www.santanderesfera.com.br/produto/726182	Casas Bahia	5b1c3e961d6cf3034f5164fc
Philco	149.9	208.89	7889.47368421053	Escova Rotativa Philco Spin Íon Brush – Prata	0.282397434056202	excel-import			12.918	18.238				Smiles	7482305_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=7482305_3&n=Escova+Rotativa+Philco+Spin+%C3%8Don+Brush+%E2%80%93+Prata	Extra			12.918	18.238				Smiles	7482305_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=7482305_4&n=Escova+Rotativa+Philco+Spin+%C3%8Don+Brush+%E2%80%93+Prata	Ponto Frio																																																																																																																	12.918	18.238				Smiles	7482305_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=7482305_7&n=Escova+Rotativa+Philco+Spin+%C3%8Don+Brush+%E2%80%93+Prata	Casas Bahia																																																																																																																	8.150	10.540					PF7482305	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Rotativa-Philco-Spin-Ion-Brush-–-Prata/_/PF7482305?categoryId=PF104	Ponto Frio			8.150	10.540					PF7482305	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Rotativa-Philco-Spin-Ion-Brush-–-Prata/_/PF7482305?categoryId=PF104	Ponto Frio			8.600	8.600	8.600			Livelo																																																11005697	https://www.santanderesfera.com.br/produto/754273	Extra	5b1c3e961d6cf3034f516512
Casio	158.9	169.9	8363.15789473684	Relógio Feminino Digital Casio Vintage LA670WA-7DF - Prata	0.064743967039435	excel-import			9.700	11.300					CB4343566	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Relógios/Femininos/Digital/Relogio-Feminino-Digital-Casio-Vintage-LA670WA-7DF---Prata/_/CB4343566?categoryId=CB1841	Casas Bahia			9.700	11.300					CB4343566	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Relógios/Femininos/Digital/Relogio-Feminino-Digital-Casio-Vintage-LA670WA-7DF---Prata/_/CB4343566?categoryId=CB1841	Casas Bahia			8.600	8.600	8.600			Livelo																																																																																																									9.300	9.300	9.300			Livelo																																																																																																																				9.100	9.100	9.100			Livelo						12.500	12.500	12.500			Livelo						9.900	9.900	9.900			Livelo						10.800	10.800	10.800			Livelo						11.300	11.300	11.300			Livelo						8.900	8.900	8.900			Livelo						12.000	12.000	12.000			Livelo				7741381	https://www.santanderesfera.com.br/produto/1062249	Extra	5b1c3e961d6cf3034f516524
BRITÂNIA	163.9	189.09	8626.31578947369	Escova Alisadora Britânia Modelle Bivolt - Roxa	0.133216986620128	excel-import			8.361	17.362				Smiles	7482248_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=7482248_4&n=Escova+Alisadora+Brit%C3%A2nia+Modelle+Bivolt+-+Roxa	Ponto Frio			8.361	17.362				Smiles	7482248_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=7482248_3&n=Escova+Alisadora+Brit%C3%A2nia+Modelle+Bivolt+-+Roxa	Extra																																																																																																																	8.361	17.362				Smiles	7482248_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=7482248_7&n=Escova+Alisadora+Brit%C3%A2nia+Modelle+Bivolt+-+Roxa	Casas Bahia																																																																																																																	5.310	10.050					PF7482248	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-Britania-Modelle-Bivolt---Roxa/_/PF7482248?categoryId=PF104	Ponto Frio			5.310	10.050					PF7482248	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-Britania-Modelle-Bivolt---Roxa/_/PF7482248?categoryId=PF104	Ponto Frio			5.600	5.600	5.600			Livelo																																																11005658	https://www.santanderesfera.com.br/produto/escova-alisadora-britania-modelle-bivolt-roxa/1045958	Extra	5b1c3e961d6cf3034f516546
Oxford	164.9	186.9	8678.94736842105	Conjunto de Taças para Cerveja Longa Oxford Crystal YM-38 300ml - 6 Peças	0.117710005350455	excel-import			9.700	11.410					PF256782	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Utilidades-Domésticas/Taças/Conjunto-de-Tacas-para-Cerveja-Longa-Oxford-Crystal-YM-38-300ml---6-Pecas/_/PF256782?categoryId=PF498	Ponto Frio			9.700	11.410					PF256782	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Utilidades-Domésticas/Taças/Conjunto-de-Tacas-para-Cerveja-Longa-Oxford-Crystal-YM-38-300ml---6-Pecas/_/PF256782?categoryId=PF498	Ponto Frio																																																																																																																	11.400	11.400	11.400			Livelo																																																																																																																				11.400	11.400	11.400			Livelo																																																																						405851	https://www.santanderesfera.com.br/produto/conjunto-de-tacas-para-cerveja-longa-oxford-crystal-ym-38-300ml-6-pecas/756246	Extra	5b1c3e961d6cf3034f516554
Mondial	166.9	206.88	8784.21052631579	Fonte de Chocolate Mondial Choco Fest FN-01	0.193252126836814	excel-import			9.930	14.030					CB8900	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Portáteis/Chocolateira-e-Fondue/Chocolateira/Fonte-de-Chocolate-Mondial-Choco-Fest-FN-01/_/CB8900?categoryId=CB2964	Casas Bahia			9.930	14.030					CB8900	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Portáteis/Chocolateira-e-Fondue/Chocolateira/Fonte-de-Chocolate-Mondial-Choco-Fest-FN-01/_/CB8900?categoryId=CB2964	Casas Bahia																																																																																																																	10.400	10.400	10.400			Livelo																																																																																																																				10.400	10.400	10.400			Livelo																																																																						14032	https://www.santanderesfera.com.br/produto/707416	Extra	5b1c3e961d6cf3034f516561
